# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	6.843517e-01	2.477574e+00	1.553068e+00
0             	heatedWalls	1.659340e-01	2.043587e+00	1.078090e+00
0.0005        	walls	4.193238e-01	1.824418e+00	1.218362e+00
0.0005        	heatedWalls	8.041932e-02	1.659498e+00	8.361301e-01
0.001         	walls	1.659771e-01	1.889169e+00	1.217100e+00
0.001         	heatedWalls	1.222006e-01	1.658719e+00	8.412709e-01
