# y+ ()       
# Time        	patch         	min           	max           	average       
0.001         	walls	1.659771e-01	1.889169e+00	1.217100e+00
0.001         	heatedWalls	1.222008e-01	1.658719e+00	8.412709e-01
0.0015        	walls	4.399861e-01	2.091048e+00	1.196266e+00
0.0015        	heatedWalls	7.287810e-02	1.747413e+00	8.406063e-01
0.002         	walls	1.545961e-01	1.997958e+00	1.207547e+00
0.002         	heatedWalls	1.314681e-01	1.593012e+00	8.392896e-01
0.0025        	walls	3.367816e-01	1.917459e+00	1.212869e+00
0.0025        	heatedWalls	9.373771e-02	1.673049e+00	8.405524e-01
