# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	4.342361e-01	2.144504e+00	1.409089e+00
0             	heatedWalls	1.624397e-01	1.909894e+00	9.735972e-01
0.0005        	walls	3.824689e-01	1.725337e+00	1.031780e+00
0.0005        	heatedWalls	8.239058e-02	1.523855e+00	7.402461e-01
0.001         	walls	3.843420e-01	1.749825e+00	1.072909e+00
0.001         	heatedWalls	7.875370e-02	1.531652e+00	7.448612e-01
