# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	sum(phi)
1.55124e-05   	3.143996e-03
1.5599e-05    	3.143722e-03
1.56856e-05   	3.143444e-03
1.57721e-05   	3.143163e-03
1.58587e-05   	3.142878e-03
1.59452e-05   	3.142593e-03
1.60318e-05   	3.142307e-03
1.61183e-05   	3.142021e-03
1.62049e-05   	3.141734e-03
1.62914e-05   	3.141448e-03
1.6378e-05    	3.141162e-03
1.64645e-05   	3.140876e-03
1.6551e-05    	3.140595e-03
1.66375e-05   	3.140317e-03
1.6724e-05    	3.140043e-03
1.68106e-05   	3.139773e-03
1.68971e-05   	3.139507e-03
1.69836e-05   	3.139247e-03
1.70701e-05   	3.138993e-03
1.71567e-05   	3.138747e-03
1.72432e-05   	3.138508e-03
1.73297e-05   	3.138278e-03
1.74162e-05   	3.138055e-03
1.75026e-05   	3.137838e-03
1.75891e-05   	3.137627e-03
1.76755e-05   	3.137422e-03
1.77619e-05   	3.137224e-03
1.78483e-05   	3.137036e-03
1.79348e-05   	3.136856e-03
1.80212e-05   	3.136685e-03
1.81076e-05   	3.136520e-03
1.8194e-05    	3.136360e-03
1.82803e-05   	3.136207e-03
1.83667e-05   	3.136063e-03
1.8453e-05    	3.135927e-03
1.85393e-05   	3.135795e-03
1.86256e-05   	3.135668e-03
1.87119e-05   	3.135541e-03
1.87982e-05   	3.135415e-03
1.88846e-05   	3.135289e-03
1.89709e-05   	3.135164e-03
1.90572e-05   	3.135040e-03
1.91434e-05   	3.134920e-03
1.92297e-05   	3.134801e-03
1.93159e-05   	3.134687e-03
1.94021e-05   	3.134579e-03
1.94884e-05   	3.134474e-03
1.95746e-05   	3.134371e-03
1.96608e-05   	3.134269e-03
1.97471e-05   	3.134170e-03
1.98333e-05   	3.134074e-03
1.99196e-05   	3.133982e-03
2.00058e-05   	3.133891e-03
2.00919e-05   	3.133801e-03
2.01781e-05   	3.133712e-03
2.02643e-05   	3.133625e-03
2.03505e-05   	3.133544e-03
2.04366e-05   	3.133464e-03
2.05228e-05   	3.133389e-03
2.0609e-05    	3.133319e-03
2.06952e-05   	3.133253e-03
2.07814e-05   	3.133190e-03
2.08676e-05   	3.133131e-03
2.09537e-05   	3.133075e-03
2.10399e-05   	3.133022e-03
2.1126e-05    	3.132972e-03
2.12122e-05   	3.132925e-03
2.12983e-05   	3.132880e-03
2.13845e-05   	3.132836e-03
2.14706e-05   	3.132794e-03
2.15568e-05   	3.132754e-03
2.1643e-05    	3.132717e-03
2.17292e-05   	3.132681e-03
2.18153e-05   	3.132646e-03
2.19015e-05   	3.132615e-03
2.19876e-05   	3.132588e-03
2.20738e-05   	3.132561e-03
2.21599e-05   	3.132535e-03
2.22461e-05   	3.132509e-03
2.23322e-05   	3.132486e-03
2.24184e-05   	3.132465e-03
2.25046e-05   	3.132447e-03
2.25908e-05   	3.132430e-03
2.2677e-05    	3.132417e-03
2.27632e-05   	3.132406e-03
2.28493e-05   	3.132399e-03
2.29355e-05   	3.132395e-03
2.30216e-05   	3.132391e-03
2.31078e-05   	3.132386e-03
2.3194e-05    	3.132382e-03
2.32802e-05   	3.132377e-03
2.33664e-05   	3.132372e-03
2.34526e-05   	3.132367e-03
2.35389e-05   	3.132362e-03
2.36251e-05   	3.132357e-03
2.37113e-05   	3.132352e-03
2.37976e-05   	3.132348e-03
2.38838e-05   	3.132344e-03
2.397e-05     	3.132344e-03
2.40563e-05   	3.132345e-03
2.41425e-05   	3.132346e-03
2.42288e-05   	3.132347e-03
2.4315e-05    	3.132347e-03
2.44013e-05   	3.132346e-03
2.44876e-05   	3.132343e-03
2.4574e-05    	3.132339e-03
2.46603e-05   	3.132335e-03
2.47466e-05   	3.132329e-03
2.48329e-05   	3.132323e-03
2.49192e-05   	3.132319e-03
2.50056e-05   	3.132315e-03
2.50919e-05   	3.132310e-03
2.51782e-05   	3.132303e-03
2.52646e-05   	3.132294e-03
2.53509e-05   	3.132283e-03
2.54373e-05   	3.132270e-03
2.55238e-05   	3.132256e-03
2.56102e-05   	3.132240e-03
2.56966e-05   	3.132224e-03
2.57831e-05   	3.132208e-03
2.58695e-05   	3.132189e-03
2.59559e-05   	3.132169e-03
2.60423e-05   	3.132147e-03
2.61287e-05   	3.132123e-03
2.62149e-05   	3.132100e-03
2.63012e-05   	3.132076e-03
2.63874e-05   	3.132053e-03
2.64736e-05   	3.132031e-03
2.65598e-05   	3.132008e-03
2.6646e-05    	3.131984e-03
2.67322e-05   	3.131957e-03
2.68184e-05   	3.131930e-03
2.69045e-05   	3.131900e-03
