# y+ ()       
# Time        	patch         	min           	max           	average       
0.001         	walls	3.843411e-01	1.749827e+00	1.072909e+00
0.001         	heatedWalls	7.875387e-02	1.531654e+00	7.448612e-01
0.0015        	walls	4.100643e-01	1.640364e+00	1.049164e+00
0.0015        	heatedWalls	8.052103e-02	1.361435e+00	7.345263e-01
0.002         	walls	2.706148e-01	1.599016e+00	1.061148e+00
0.002         	heatedWalls	8.953501e-02	1.489960e+00	7.384953e-01
