# y+ ()       
# Time        	patch         	min           	max           	average       
0             	walls	4.595514e-01	2.526548e+00	1.516869e+00
0             	heatedWalls	1.753468e-01	2.135471e+00	1.049044e+00
0.0005        	walls	3.917941e-01	2.035460e+00	1.200656e+00
0.0005        	heatedWalls	8.983349e-02	1.811270e+00	8.460337e-01
0.001         	walls	1.444741e-01	1.968540e+00	1.207121e+00
0.001         	heatedWalls	1.076874e-01	1.619156e+00	8.474434e-01
