# Region type : patch outlet
# Faces  :    700
# Area   :    1.406158e-05
# Time        	areaAverage(TMean)	areaAverage(UMean)
0             
1.19999e-08   	9.053905e+02	(2.967910e-01 -2.130063e-01 1.738846e+02)
2.63997e-08   	9.053912e+02	(2.966004e-01 -2.132367e-01 1.738808e+02)
4.36788e-08   	9.053924e+02	(2.963830e-01 -2.135413e-01 1.738759e+02)
6.44136e-08   	9.053928e+02	(2.961259e-01 -2.139202e-01 1.738696e+02)
8.92947e-08   	9.053925e+02	(2.958037e-01 -2.143664e-01 1.738614e+02)
1.19151e-07   	9.053918e+02	(2.953734e-01 -2.148714e-01 1.738508e+02)
1.54977e-07   	9.053908e+02	(2.947780e-01 -2.154383e-01 1.738373e+02)
1.97967e-07   	9.053896e+02	(2.939693e-01 -2.161001e-01 1.738203e+02)
2.49551e-07   	9.053888e+02	(2.929396e-01 -2.169251e-01 1.737996e+02)
3.09806e-07   	9.053889e+02	(2.917810e-01 -2.179546e-01 1.737762e+02)
3.78738e-07   	9.053908e+02	(2.906108e-01 -2.192160e-01 1.737516e+02)
4.56355e-07   	9.053951e+02	(2.895231e-01 -2.207446e-01 1.737273e+02)
5.42662e-07   	9.054023e+02	(2.885574e-01 -2.226023e-01 1.737049e+02)
6.296e-07     	9.054109e+02	(2.877810e-01 -2.245954e-01 1.736874e+02)
7.16492e-07   	9.054197e+02	(2.871296e-01 -2.267243e-01 1.736741e+02)
8.03354e-07   	9.054281e+02	(2.865670e-01 -2.289916e-01 1.736646e+02)
8.90201e-07   	9.054355e+02	(2.860869e-01 -2.313936e-01 1.736583e+02)
9.77063e-07   	9.054418e+02	(2.857008e-01 -2.339290e-01 1.736548e+02)
1.06394e-06   	9.054467e+02	(2.854263e-01 -2.365990e-01 1.736535e+02)
1.15076e-06   	9.054505e+02	(2.852790e-01 -2.394038e-01 1.736539e+02)
1.23753e-06   	9.054531e+02	(2.852675e-01 -2.423465e-01 1.736554e+02)
1.32429e-06   	9.054546e+02	(2.853939e-01 -2.454285e-01 1.736576e+02)
1.41106e-06   	9.054551e+02	(2.856549e-01 -2.486482e-01 1.736599e+02)
1.49786e-06   	9.054547e+02	(2.860434e-01 -2.520006e-01 1.736618e+02)
1.58468e-06   	9.054535e+02	(2.865503e-01 -2.554776e-01 1.736631e+02)
1.67148e-06   	9.054515e+02	(2.871655e-01 -2.590697e-01 1.736636e+02)
1.75828e-06   	9.054489e+02	(2.878792e-01 -2.627697e-01 1.736633e+02)
1.84511e-06   	9.054458e+02	(2.886826e-01 -2.665728e-01 1.736624e+02)
1.93197e-06   	9.054423e+02	(2.895679e-01 -2.704741e-01 1.736609e+02)
2.01888e-06   	9.054387e+02	(2.905291e-01 -2.744718e-01 1.736592e+02)
2.10583e-06   	9.054349e+02	(2.915624e-01 -2.785644e-01 1.736574e+02)
2.1928e-06    	9.054310e+02	(2.926657e-01 -2.827507e-01 1.736557e+02)
2.27976e-06   	9.054272e+02	(2.938393e-01 -2.870300e-01 1.736543e+02)
2.36671e-06   	9.054232e+02	(2.950860e-01 -2.914047e-01 1.736532e+02)
2.45366e-06   	9.054192e+02	(2.964094e-01 -2.958772e-01 1.736525e+02)
2.54062e-06   	9.054150e+02	(2.978137e-01 -3.004495e-01 1.736521e+02)
2.6276e-06    	9.054105e+02	(2.993033e-01 -3.051255e-01 1.736520e+02)
2.7146e-06    	9.054058e+02	(3.008808e-01 -3.099063e-01 1.736520e+02)
2.8016e-06    	9.054008e+02	(3.025477e-01 -3.147922e-01 1.736521e+02)
2.8886e-06    	9.053954e+02	(3.043047e-01 -3.197840e-01 1.736522e+02)
2.97558e-06   	9.053896e+02	(3.061509e-01 -3.248806e-01 1.736523e+02)
